"scenario","change.year","ramp","cmult","mmult","mselxlab","imult","ssbrho","absssbrho","scen"
"Sudden Cmults",2010,0,10,1,"All Ages",1,-0.0130282681264628,0.0130282681264628,"01"
"Ramp4 Cmults",2013,4,9,1,"All Ages",1,0.0221957768707379,0.0221957768707379,"02"
"Ramp9 Cmults",2015,9,10,1,"All Ages",1,0.0268365500372454,0.0268365500372454,"03"
"Sudden Mmults",2005,0,1,2.2,"All Ages",1,0.00379202889886813,0.00379202889886813,"04"
"Ramp4 Mmults",2010,4,1,2.2,"All Ages",1,0.00214828726778188,0.00214828726778188,"05"
"Ramp9 Mmults",2000,9,1,2.4,"All Ages",1,0.00211558599737803,0.00211558599737803,"06"
"Old Sudden Mmults",2000,0,1,2.8,"Old",1,0.00262049980251693,0.00262049980251693,"07"
"Old Ramp4 Mmults",2005,4,1,2.8,"Old",1,-0.00224071925922278,0.00224071925922278,"08"
"Old Ramp9 Mmults",2005,9,1,2.8,"Old",1,0.000721170621458645,0.000721170621458645,"09"
"Young Sudden Mmults",2013,0,1,8.6,"Young",1,0.00065200299211724,0.00065200299211724,"10"
"Young Ramp4 Mmults",2000,4,1,4.5,"Young",1,0.00338753007191148,0.00338753007191148,"11"
"Young Ramp9 Mmults",1995,9,1,5.8,"Young",1,-0.000370661566881549,0.000370661566881549,"12"
